Judul,Tanggal,Link
"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara",25/10/2022,https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022,24/10/2022,https://www.unair.ac.id/mahasiswa-ilmu-sejarah-unair-dinobatkan-sebagai-putri-pariwisata-kalimantan-timur-2022/
Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,18/10/2022,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
"Gelisah Penggunaan Plastik di Kereta Api, Mahasiswa UNAIR Temukan Gerakan Anti Plastik",18/10/2022,https://www.unair.ac.id/gelisah-penggunaan-plastik-di-kereta-api-mahasiswa-unair-temukan-gerakan-anti-plastik/
Mahasiswa UNAIR Raih 5 Medali di Lomba ON-MIPA-PT 2022,18/10/2022,https://www.unair.ac.id/mahasiswa-unair-raih-5-medali-di-lomba-on-mipa-pt-2022/
Kolaborasi Antarkan 2 Mahasiswa UNAIR Juara I Lomba Debat Nasional FEMAMI 2022,17/10/2022,https://www.unair.ac.id/kolaborasi-antarkan-2-mahasiswa-unair-juara-i-lomba-debat-nasional-femami-2022/
Cerita Mahasiswa UNAIR Juara 1 Business Plan Competition Vetepreneur,17/10/2022,https://www.unair.ac.id/cerita-mahasiswa-unair-juara-1-business-plan-competition-vetepreneur/
"Cetus Teknologi Manajemen Stres, Mahasiswa UNAIR Raih Juara 2 Lomba Esai Nasional",17/10/2022,https://www.unair.ac.id/cetus-teknologi-manajemen-stres-mahasiswa-unair-raih-juara-2-lomba-esai-nasional/
UNAIR Posisi Kedua di Indonesia Versi THE WUR,14/10/2022,https://www.unair.ac.id/unair-posisi-kedua-di-indonesia-versi-the-wur/
Jalur Rempah Surabaya Antarkan Mahasiswa UNAIR Sabet Juara 1 Video Pendek Nasional,14/10/2022,https://www.unair.ac.id/jalur-rempah-surabaya-antarkan-mahasiswa-unair-sabet-juara-1-video-pendek-nasional/
Tiga Mahasiswa UNAIR Raih Juara I Lomba Debat Kesehatan,10/10/2022,https://www.unair.ac.id/tiga-mahasiswa-unair-raih-juara-i-lomba-debat-kesehatan/
Inovasi Incredible Floaties Antarkan Diajeng Lolos Pendanaan Belmawa,10/10/2022,https://www.unair.ac.id/inovasi-incredible-floaties-antarkan-diajeng-lolos-pendanaan-belmawa/
"Kritisi PLTA Poso, Tiga Mahasiswa HI UNAIR Sabet Juara Dua Lomba Karya Tulis HAM Internasional",09/10/2022,https://www.unair.ac.id/kritisi-plta-poso-tiga-mahasiswa-hi-unair-sabet-juara-dua-lomba-karya-tulis-ham-internasional/
Mahasiswa FISIP UNAIR Sabet Juara I Lomba Esai Nasional Bertema Ekonomi,09/10/2022,https://www.unair.ac.id/mahasiswa-fisip-unair-sabet-juara-i-lomba-esai-nasional-bertema-ekonomi/
"Peduli Diabetes, Mahasiswa FIB UNAIR Raih Juara 3 di  LPII FEB Universitas Riau",07/10/2022,https://www.unair.ac.id/peduli-diabetes-mahasiswa-fib-unair-raih-juara-3-di-lpii-feb-universitas-riau/
"Ulitha Hijab Nusantara, Inovasi Fesyen Muslim Besutan Mahasiswa UNAIR",07/10/2022,https://www.unair.ac.id/ulitha-hijab-nusantara-inovasi-fesyen-muslim-besutan-mahasiswa-unair/
"Gagas Aplikasi Peduli Tunanetra, Tim UNAIR Raih Juara I Business Plan Competition",06/10/2022,https://www.unair.ac.id/gagas-aplikasi-peduli-tunanetra-tim-unair-raih-juara-i-business-plan-competition/
"Usung Wayang Cepot, Mahasiswa FIB Raih Harapan 1 LKTIN Sriwijaya",06/10/2022,https://www.unair.ac.id/usung-wayang-cepot-mahasiswa-fib-raih-harapan-1-lktin-sriwijaya/
Mahasiswa UNAIR Sabet Juara 2 Pelopor Pemuda Gresik 2022,06/10/2022,https://www.unair.ac.id/mahasiswa-unair-sabet-juara-2-pelopor-pemuda-gresik-2022/
"Raih Juara 2, Mahasiswa UNAIR Gagas Aplikasi Petani",05/10/2022,https://www.unair.ac.id/raih-juara-2-mahasiswa-unair-gagas-aplikasi-petani/
Kisah Double Degree mahasiswa FPK UNAIR,05/10/2022,https://www.unair.ac.id/kisah-double-degree-mahasiswa-fpk-unair/
Mahasiswi FK UNAIR Raih Juara III Writing Competition Djarum Beasiswa Plus,05/10/2022,https://www.unair.ac.id/mahasiswi-fk-unair-raih-juara-iii-writing-competition-djarum-beasiswa-plus/
Tim UNAIR Sabet 3 Penghargaan di Ajang Lomba Debat Nasional KITA Brawijaya,05/10/2022,https://www.unair.ac.id/tim-unair-sabet-3-penghargaan-di-ajang-lomba-debat-nasional-kita-brawijaya/
"Kenalkan Budaya Lokal, Mahasiswa UNAIR Raih Juara 3 Esai Nasional",05/10/2022,https://www.unair.ac.id/kenalkan-budaya-lokal-mahasiswa-unair-raih-juara-3-esai-nasional/
Mahasiswa UNAIR Raih Kemenangan dalam Ajang Dance Cover Competition,03/10/2022,https://www.unair.ac.id/mahasiswa-unair-raih-kemenangan-dalam-ajang-dance-cover-competition/
Mahasiswa UNAIR Sabet Juara 1 dalam Essay Competition IDTC 2022,30/09/2022,https://www.unair.ac.id/mahasiswa-unair-sabet-juara-1-dalam-essay-competition-idtc-2022/
Delegasi MYMA FH UNAIR Sabet Juara Pertama dan Pembicara Terbaik Kompetisi Debat Hukum Nasional NLDC 2022,30/09/2022,https://www.unair.ac.id/delegasi-myma-fh-unair-sabet-juara-pertama-dan-pembicara-terbaik-kompetisi-debat-hukum-nasional-nldc-2022/
Mahasiswa Fakultas Keperawatan UNAIR Sabet Juara 3 di Ajang LKTI,29/09/2022,https://www.unair.ac.id/mahasiswa-fakultas-keperawatan-unair-sabet-juara-3-di-ajang-lkti/
Mahasiswa UNAIR Wakili Indonesia dalam Lomba Debat di Madrid,26/09/2022,https://www.unair.ac.id/mahasiswa-unair-wakili-indonesia-dalam-lomba-debat-di-madrid/
AMSA-UNAIR Raih Empat Penghargaan di Musyawarah Nasional Indonesia 2022,22/09/2022,https://www.unair.ac.id/amsa-unair-raih-empat-penghargaan-di-musyawarah-nasional-indonesia-2022/
Peduli Cagar Budaya Antarkan Mahasiswa UNAIR Juarai Kompetisi Esai Sejarah Nasional,20/09/2022,https://www.unair.ac.id/peduli-cagar-budaya-antarkan-mahasiswa-unair-juarai-kompetisi-esai-sejarah-nasional/
"Gagas Aplikasi Tangani Kekerasan Seksual, Mahasiswa UNAIR Sabet Emas di WYIIA 2022",19/09/2022,https://www.unair.ac.id/gagas-aplikasi-tangani-kekerasan-seksual-mahasiswa-unair-sabet-emas-di-wyiia-2022/
Mahasiswi Bahasa dan Sastra Indonesia Raih Juara 1 Lomba News Anchor,16/09/2022,https://www.unair.ac.id/mahasiswi-bahasa-dan-sastra-indonesia-raih-juara-1-lomba-news-anchor/
Mahasiswa UNAIR Raih Juara II Lomba Cipta Puisi Nasional,16/09/2022,https://www.unair.ac.id/mahasiswa-unair-raih-juara-ii-lomba-cipta-puisi-nasional/
"Angkat Isu Kesehatan Mental Anak, Mahasiswa UNAIR Raih Predikat Best Paper Nasional",16/09/2022,https://www.unair.ac.id/angkat-isu-kesehatan-mental-anak-mahasiswa-unair-raih-predikat-best-paper-nasional/
Mahasiswa UNAIR Raih Juara II Duta GenRe Kabupaten Tulungagung 2022,16/09/2022,https://www.unair.ac.id/mahasiswa-unair-raih-juara-ii-duta-genre-kabupaten-tulungagung-2022/
Mahasiswa UNAIR Raih Best Presentation International Jakarta Economic Forum 2022,18/03/2022,https://www.unair.ac.id/mahasiswa-unair-raih-best-presentation-international-jakarta-economic-forum-2022/
Mahasiswa FK UNAIR Boyong 3 Medali Olimpiade di Thailand,17/03/2022,https://www.unair.ac.id/mahasiswa-fk-unair-boyong-3-medali-olimpiade-di-thailand/
"Berawal dari Mimpi, Antarkan Mahasiswa Studi Kejepangan menjadi Mawapres",14/09/2022,https://www.unair.ac.id/berawal-dari-mimpi-antarkan-mahasiswa-studi-kejepangan-menjadi-mawapres/
Dokumenter Tari Remo Antarkan Tim UNAIR Raih Juara III Lomba Festival Film Nasional,12/09/2022,https://www.unair.ac.id/dokumenter-tari-remo-antarkan-tim-unair-raih-juara-iii-lomba-festival-film-nasional/
Mahasiswa UNAIR Sabet 2 Penghargaan di NCHU Taiwan,12/09/2022,https://www.unair.ac.id/mahasiswa-unair-sabet-2-penghargaan-di-nchu-taiwan/
Mahasiswa UNAIR Sabet Juara II Penulisan Puisi Peksimida JATIM 2022,07/09/2022,https://www.unair.ac.id/mahasiswa-unair-sabet-juara-ii-penulisan-puisi-peksimida-jatim-2022/
Mahasiswa Ekonomi Pembangunan Raih Juara II Lomba Debat Nasional,07/09/2022,https://www.unair.ac.id/mahasiswa-ekonomi-pembangunan-raih-juara-ii-lomba-debat-nasional/
"Raih Juara I Penulisan Lakon, Mahasiswa UNAIR Wakili Jawa Timur di Ajang Peksiminas 2022",06/09/2022,https://www.unair.ac.id/raih-juara-i-penulisan-lakon-mahasiswa-unair-wakili-jawa-timur-di-ajang-peksiminas-2022/
FEB UNAIR Borong Dua Juara dalam Lomba Ekonomi Syariah Nasional SEHATI,31/08/2022,https://www.unair.ac.id/feb-unair-borong-dua-juara-dalam-lomba-ekonomi-syariah-nasional-sehati/
"Jadi Ajudan Milenial Gubernur Jabar, Ini Kisah Yani",31/08/2022,https://www.unair.ac.id/jadi-ajudan-milenial-gubernur-jabar-ini-kisah-yani/
